50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9ec3d009-c15b-4a8d-be80-57a07f40755a,1,,,22912,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 3082, 'name': 'Harry Winks'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3083, 'name': 'Heung-Min Son'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e8bdb5d1-8bcb-4a0d-bfd2-68c18c7f54d0,2,,,22912,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5547, 'name': 'Alisson Ramsés Becker'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3664, 'name': 'Trent Alexander-Arnold'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 66}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3655, 'name': 'Andrew Robertson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Liverpool,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,00b678a4-3767-4d0b-92e6-9cb4c959d94d,3,,,22912,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['05840f64-0fb7-4f2d-885a-49790d6bd4df'],0,,,,,,,,,,,,,,Liverpool,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,05840f64-0fb7-4f2d-885a-49790d6bd4df,4,,,22912,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['00b678a4-3767-4d0b-92e6-9cb4c959d94d'],0,,,,,,,,,,,,,,Tottenham Hotspur,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5bf22eb8-1257-4e6f-beca-2a3652936b18,1637,,,22912,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,81,Tottenham Hotspur,38,['64501101-8a8c-48b0-8184-bd2ac7dad41d'],0,,,,,,,,,,,,,,Liverpool,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,64501101-8a8c-48b0-8184-bd2ac7dad41d,1638,,,22912,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,81,Tottenham Hotspur,38,['5bf22eb8-1257-4e6f-beca-2a3652936b18'],0,,,,,,,,,,,,,,Tottenham Hotspur,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.666205,,,,,,,,,,,,,,b67ef6a9-e877-4dbe-bb03-edcc9d8c7711,5,,"[61.0, 40.1]",22912,0,,,,3.005404,,Right Foot,,,,"[34.0, 43.8]",,Ground Pass,,27.252338,,,Joël Andre Job Matip,,,,,,Kick Off,1,From Kick Off,Jordan Brian Henderson,3532.0,Right Center Midfield,2,Liverpool,24,['c7297515-ae92-4fb4-93a8-59745b8dfa90'],0,,,,,,,,,,,,,,Liverpool,00:00:00.208,Pass,
,,,,,,,,,,,,,,,,,,2.040173,,,,,,,,,,,,,,10f8eed9-fa49-4170-9057-d9418e9546ae,8,,"[36.1, 44.0]",22912,0,,,,-0.6759472,,Right Foot,,,,"[86.6, 3.5]",,High Pass,,64.73407,Incomplete,,Sadio Mané,,,True,,,,1,From Kick Off,Joël Andre Job Matip,3502.0,Right Center Back,2,Liverpool,24,"['07a666b8-c9d8-4370-bdb7-9075b42be143', '3cb70cbe-9267-43eb-8937-b1f8d00cc902']",3,,,,,,,,,,,,,,Liverpool,00:00:03.358,Pass,
,,,,,,,,,,,,,,,,,,2.305768,,,,,,,,,,,,,,3cb70cbe-9267-43eb-8937-b1f8d00cc902,10,,"[33.5, 76.6]",22912,0,,,,-0.4712376,,Head,,,,"[54.5, 65.9]",,High Pass,,23.568836,Incomplete,,Harry Kane,,,,,,Recovery,1,From Kick Off,Kieran Trippier,3308.0,Right Back,2,Liverpool,24,"['0c45c33c-2e7b-482a-9bda-4d38f0348d3a', '10f8eed9-fa49-4170-9057-d9418e9546ae', '9babcee7-0db0-4cf5-bbd3-b6ca2c0ff6e2']",5,,,,,,,,,,,,,,Tottenham Hotspur,00:00:05.398,Pass,
,,,,,,,,,,,,,,,,,,1.150397,,,,,,,,,,,,,,9babcee7-0db0-4cf5-bbd3-b6ca2c0ff6e2,12,,"[65.6, 14.2]",22912,0,,,,0.16703369,,Head,,,,"[82.8, 17.1]",,High Pass,,17.442764,Incomplete,,Roberto Firmino Barbosa de Oliveira,,,,,,Recovery,1,From Kick Off,Fábio Henrique Tavares,3247.0,Center Defensive Midfield,2,Liverpool,24,"['3cb70cbe-9267-43eb-8937-b1f8d00cc902', 'c1eae3aa-6fd0-459d-9172-1b4ab353a022', 'ed845f12-5ed4-40e7-b296-a2e55d7482d7']",7,,,,,,,,,,,,,,Liverpool,00:00:07.704,Pass,
